USERNAME,ORDER_NUMBER,SKU,SIZE,NAME,PRODUCT_PRICE_CENTS_SALE_PRICE,CREDIT_DATE,PURCHASED_DATE
g0tchi,586612181,DM7866 200,18,Travis Scott x Air Jordan 1 Retro Low OG SP 'Reverse Olive / Medium Olive',399,20/12/24,18/12/24
g0tchi,690637155,FD2197 709,106,Nike x NOCTA L’Art Apex Tech Pant 'Vivid Sulfur/Sail',195,11/12/24,7/12/24
g0tchi,220957995,FB2393 101,11.5,Air Max Ishod Wair SB 'Obsidian Pine',94,9/12/24,3/12/24
g0tchi,822592089,FB2393 101,11,Air Max Ishod Wair SB 'Obsidian Pine',94,21/11/24,18/11/24
g0tchi,598295369,DM7866 200,18,Travis Scott x Air Jordan 1 Retro Low OG SP 'Reverse Olive / Medium Olive',565,13/11/24,9/11/24
g0tchi,295969161,FD2013 100,9.5,Wmns Cortez '23 'Light Orewood Brown',68,17/10/24,11/10/24
g0tchi,402758606,M2002RFA,10,2002R 'Sandstone Magnet',89,18/9/24,15/9/24
g0tchi,102451534,1203A305 003,9,Gel Quantum 360 8 'Ocean Pack - Black Aquarium',139,11/9/24,7/9/24
g0tchi,547226651,CD6404 400,4.5,P-6000 'Racer Blue Flat Silver',95,4/9/24,28/8/24
g0tchi,271891539,1201A255 251,8,Gel 1130 'Moonrock',109,27/8/24,21/8/24
g0tchi,514496694,IF6442,8.5,Predator Elite Foldover Tongue FG 'Advancement Pack',268,16/8/24,12/8/24
g0tchi,216529428,FN8075 101,9,Air Max 1 '86 OG Golf 'Big Bubble - Solheim Cup',130,9/8/24,4/8/24
g0tchi,422649807,CD4387 100,12,Air Streak Lite 'Summit White',59,31/7/24,24/7/24
g0tchi,943063341,1201A019 005,9.5,Gel Kayano 14 'Black Seal Grey',121,23/7/24,21/7/24
g0tchi,778424159,HQ7084,7,Gucci x Wmns Gazelle 'Pink Velvet',649,17/7/24,10/7/24
g0tchi,722833664,H03471,14,Campus 00s 'Lucid Blue Gum',89,4/7/24,29/6/24
g0tchi,869346745,FV6911 300,10,Dunk Low 'Fir Midnight Navy',100,11/3/24,6/3/24
g0tchi,162256519,DD1873 102,6.5,Wmns Dunk Low Next Nature 'Black White - White Sockliner',99,4/3/24,28/2/24
g0tchi,181470605,M1906RCF,11.5,1906R 'Hornets',104,29/2/24,27/2/24
g0tchi,313753948,FV6911 300,6,Dunk Low 'Fir Midnight Navy',110,27/2/24,23/2/24
g0tchi,673329030,505836 140,7,Air Jordan 11 Retro Low TD 'Cement Grey',75,21/2/24,17/2/24
g0tchi,423273653,1203A350 100,8,GmbH x Gel Kayano Legacy 'White Black',120,2/2/24,31/1/24
g0tchi,845920039,FV0389 100,10.5,Dunk Low 'Smoke Grey Gum',135,30/1/24,26/1/24
g0tchi,669019725,DV6802 007,12,Air Max 1 '86 OG Golf NRG 'Big Bubble - Always Fresh',149,26/1/24,24/1/24
g0tchi,878113613,U574LGRG,7.5,574 Legacy 'Grey Angora',80,26/1/24,24/1/24
g0tchi,958148496,U9060IND,12.5,9060 'Natural Indigo',159,17/1/24,16/1/24
g0tchi,124459586,MT580RBL,11,580 GORE-TEX 'Kombu Black',139,17/1/24,15/1/24
g0tchi,238406411,DV1376 100,10.5,Air Jordan 6 Retro Low Golf 'White Khaki',154,11/1/24,9/1/24
g0tchi,703212552,U9060IND,12.5,9060 'Natural Indigo',159,9/1/24,7/1/24
g0tchi,260967655,FV1166 200,10,Wmns Air Zoom Vomero 5 'Plum Eclipse',135,11/12/23,6/12/23
g0tchi,318970076,GZ2619,10,adiFOM Superstar 'Triple Black',115,23/11/23,20/11/23
g0tchi,159745408,DD1391 104,11,Dunk Low 'Championship Purple',79,23/11/23,20/11/23
g0tchi,838664675,DZ3407 100,10.5,ACG Moc 'Summit White Black',69,12/11/23,9/11/23
g0tchi,687081986,FD4116 001,12,Calm Slide 'Black',44,13/11/23,8/11/23
g0tchi,645556114,208695 001,9,Classic Cowboy Boot 'Black',140,31/10/23,27/10/23
g0tchi,870968136,M1906ROB,8.5,1906R Cordura 'Pouch - Vintage Wheat',100,25/10/23,23/10/23
g0tchi,948147121,GW8858,10.5,Question Mid 'Answer To No One',67,24/10/23,21/10/23
g0tchi,512486419,685134 102,12,Zoom Rival SD 2 'White Hyper Pink Orange',49,16/10/23,10/10/23
g0tchi,572936112,M2002RSI,13,2002R 'Driftwood',124,6/10/23,3/10/23
g0tchi,884986442,1201A019 102,11,Gel Kayano 14 'White Pure Gold',161,27/9/23,23/9/23
g0tchi,906297616,DM6447 200,11,Stussy x Air Max 2013 'Fossil',276,20/9/23,17/9/23
g0tchi,946252246,GY7420,11,BSTN x Question Mid 'Bethel High',149,18/9/23,14/9/23
g0tchi,522028573,DQ6453 001,10.5,ACG Moc 'Anthracite',84,18/9/23,14/9/23
g0tchi,326057472,685134 102,12,Zoom Rival SD 2 'White Hyper Pink Orange',59,8/9/23,5/9/23
g0tchi,621702805,DV5429 800,6.5,Dunk Low SB 'Orange Emerald Rise',139,30/8/23,24/8/23
g0tchi,665916034,HQ8750,10.5,adiFOM Superstar 'Core White',98,23/8/23,18/8/23
g0tchi,617684573,L47133200,12,XT-4 OG 'Eden Bright Lime Green',160,23/8/23,18/8/23
g0tchi,474579127,DV9956 103,11.5,Air Jordan 2 Retro Low 'Cherrywood',129,17/8/23,15/8/23
g0tchi,548994468,1201A019 103,10,Gel Kayano 14 'Classic Red',169,11/8/23,8/8/23
g0tchi,232966706,DZ2538 100,12.5,Dunk Low Premium 'Light Orewood Brown',110,11/8/23,7/8/23
g0tchi,217678379,FN7658 100,7.5,Wmns Dunk Low 'Light Silver Corduroy',149,9/8/23,4/8/23
g0tchi,321396667,WS327AN,6,Wmns 327 'Moonbeam Timberwolf',99,18/7/23,13/7/23
g0tchi,771035789,DH0833 101,10,Air Jordan 36 Low 'Pure Money',129,13/7/23,9/7/23
g0tchi,875168477,M1906RSA,8.5,1906R 'Blacktop Mindful Grey' size? Exclusive,199,11/7/23,6/7/23
g0tchi,932824084,208472 90H,10,Minecraft x Classic Clog 'Grass Block',69,5/7/23,30/6/23
g0tchi,610639698,DM0966 148,13.5,Air Jordan 3 Retro PS 'Washington Wizards',47,30/6/23,28/6/23
g0tchi,483924175,DH9227 100,10,BRSB 'White Varsity Red',34,28/6/23,27/6/23
g0tchi,671871262,FD9856 100,12.5,Wmns Air Max 1 'Safari - Coconut Milk',145,28/6/23,26/6/23
